countyFIPS,STATE,County.Name.x,POPEST2018
78999,VI,US Virgin Islands,106235
60999,AS,American Samoa,49437
66999,GU,Guam,168485
69999,MP,Northern Mariana Islands,51433
72999,PR,Puerto Rico,3189068
36071,NY,Orange County,381951
51059,VA,Fairfax County,1150795
6037,CA,Los Angeles County,10105518
36119,NY,Westchester County,967612
36027,NY,Dutchess County,293718
48201,TX,Harris County,4698619
6059,CA,Orange County,3185968
36087,NY,Rockland County,325695
4013,AZ,Maricopa County,4410824
17031,IL,Cook County,5180493
36103,NY,Suffolk County,1481093
36111,NY,Ulster County,178599
6073,CA,San Diego County,3343364
37183,NC,Wake County,1092305
48029,TX,Bexar County,1986049
48085,TX,Collin County,1005146
48113,TX,Dallas County,2637772
12095,FL,Orange County,1380645
12011,FL,Broward County,1951260
24031,MD,Montgomery County,1052567
51153,VA,Prince William County,468011
12057,FL,Hillsborough County,1436888
36059,NY,Nassau County,1358343
37119,NC,Mecklenburg County,1093901
48121,TX,Denton County,859064
24003,MD,Anne Arundel County,576031
29189,MO,St. Louis County,996945
53033,WA,King County,2233163
36105,NY,Sullivan County,75498
42029,PA,Chester County,522046
1089,AL,Madison County,366519
24033,MD,Prince George's County,909308
36061,NY,New York County,1628701
36081,NY,Queens County,2278906
6065,CA,Riverside County,2450758
42003,PA,Allegheny County,1218452
15003,HI,Honolulu County,980080
32003,NV,Clark County,2231647
48453,TX,Travis County,1248743
24025,MD,Harford County,253956
36079,NY,Putnam County,98892
11001,DC,District of Columbia,702455
1073,AL,Jefferson County,659300
36067,NY,Onondaga County,461809
42017,PA,Bucks County,628195
6067,CA,Sacramento County,1540975
6071,CA,San Bernardino County,2171603
8041,CO,El Paso County,713856
13067,GA,Cobb County,756865
13121,GA,Fulton County,1050114
13135,GA,Gwinnett County,927781
16001,ID,Ada County,469966
17043,IL,DuPage County,928589
24027,MD,Howard County,323196
26125,MI,Oakland County,1259201
36029,NY,Erie County,919719
13089,GA,DeKalb County,756558
17097,IL,Lake County,700832
27053,MN,Hennepin County,1259428
42091,PA,Montgomery County,828604
48439,TX,Tarrant County,2084931
51061,VA,Fauquier County,70675
51107,VA,Loudoun County,406850
6085,CA,Santa Clara County,1937570
12103,FL,Pinellas County,975280
26163,MI,Wayne County,1753893
39035,OH,Cuyahoga County,1243857
12086,FL,Miami-Dade County,2761581
24005,MD,Baltimore County,828431
29183,MO,St. Charles County,399182
37051,NC,Cumberland County,332330
42045,PA,Delaware County,564751
42101,PA,Philadelphia County,1584138
45019,SC,Charleston County,405905
6013,CA,Contra Costa County,1150215
13057,GA,Cherokee County,254149
13215,GA,Muscogee County,194160
36005,NY,Bronx County,1432132
36055,NY,Monroe County,742474
37093,NC,Hoke County,54764
42133,PA,York County,448273
45079,SC,Richland County,414576
53061,WA,Snohomish County,814901
51810,VA,Virginia Beach city,450189
8005,CO,Arapahoe County,651215
12009,FL,Brevard County,596849
12099,FL,Palm Beach County,1485941
12109,FL,St. Johns County,254261
24021,MD,Frederick County,255648
40109,OK,Oklahoma County,792582
48157,TX,Fort Bend County,787858
4019,AZ,Pima County,1039073
12071,FL,Lee County,754610
12101,FL,Pasco County,539630
12117,FL,Seminole County,467832
13117,GA,Forsyth County,236612
20091,KS,Johnson County,597555
42103,PA,Pike County,55933
45045,SC,Greenville County,514213
53053,WA,Pierce County,891299
8059,CO,Jefferson County,580233
12021,FL,Collier County,378488
17197,IL,Will County,692310
36047,NY,Kings County,2582830
36085,NY,Richmond County,476179
37081,NC,Guilford County,533670
42077,PA,Lehigh County,368100
47037,TN,Davidson County,692587
48339,TX,Montgomery County,590925
6029,CA,Kern County,896764
10003,DE,New Castle County,559335
12087,FL,Monroe County,75027
12115,FL,Sarasota County,426718
36001,NY,Albany County,307117
39049,OH,Franklin County,1310300
42011,PA,Berks County,420152
42041,PA,Cumberland County,251423
48141,TX,El Paso County,840758
49035,UT,Salt Lake County,1152633
53063,WA,Spokane County,514631
53067,WA,Thurston County,286419
8031,CO,Denver County,716492
8035,CO,Douglas County,342776
12031,FL,Duval County,950181
12105,FL,Polk County,708009
13151,GA,Henry County,230220
20103,KS,Leavenworth County,81352
21111,KY,Jefferson County,770517
