fips,date,county_name,province_state,country_region,confirmed,deaths,recovered,active
1073,3/22/2020,Jefferson,Alabama,US,71,0,0,0
1117,3/22/2020,Shelby,Alabama,US,17,0,0,0
1081,3/22/2020,Lee,Alabama,US,16,0,0,0
1089,3/22/2020,Madison,Alabama,US,16,0,0,0
1125,3/22/2020,Tuscaloosa,Alabama,US,7,0,0,0
1051,3/22/2020,Elmore,Alabama,US,6,0,0,0
1101,3/22/2020,Montgomery,Alabama,US,3,0,0,0
1115,3/22/2020,St. Clair,Alabama,US,3,0,0,0
1003,3/22/2020,Baldwin,Alabama,US,2,0,0,0
1017,3/22/2020,Chambers,Alabama,US,2,0,0,0
1097,3/22/2020,Mobile,Alabama,US,2,0,0,0
1077,3/22/2020,Lauderdale,Alabama,US,2,0,0,0
1043,3/22/2020,Cullman,Alabama,US,2,0,0,0
1083,3/22/2020,Limestone,Alabama,US,1,0,0,0
1015,3/22/2020,Calhoun,Alabama,US,1,0,0,0
1121,3/22/2020,Talladega,Alabama,US,1,0,0,0
1127,3/22/2020,Walker,Alabama,US,1,0,0,0
1071,3/22/2020,Jackson,Alabama,US,1,0,0,0
1075,3/22/2020,Lamar,Alabama,US,1,0,0,0
1129,3/22/2020,Washington,Alabama,US,1,0,0,0
1093,3/22/2020,Marion,Alabama,US,1,0,0,0
1001,3/22/2020,Autauga,Alabama,US,0,0,0,0
1005,3/22/2020,Barbour,Alabama,US,0,0,0,0
1007,3/22/2020,Bibb,Alabama,US,0,0,0,0
1009,3/22/2020,Blount,Alabama,US,0,0,0,0
1011,3/22/2020,Bullock,Alabama,US,0,0,0,0
1013,3/22/2020,Butler,Alabama,US,0,0,0,0
1019,3/22/2020,Cherokee,Alabama,US,0,0,0,0
1021,3/22/2020,Chilton,Alabama,US,0,0,0,0
1023,3/22/2020,Choctaw,Alabama,US,0,0,0,0
1025,3/22/2020,Clarke,Alabama,US,0,0,0,0
1027,3/22/2020,Clay,Alabama,US,0,0,0,0
1029,3/22/2020,Cleburne,Alabama,US,0,0,0,0
1031,3/22/2020,Coffee,Alabama,US,0,0,0,0
1033,3/22/2020,Colbert,Alabama,US,0,0,0,0
1035,3/22/2020,Conecuh,Alabama,US,0,0,0,0
1037,3/22/2020,Coosa,Alabama,US,0,0,0,0
1039,3/22/2020,Covington,Alabama,US,0,0,0,0
1041,3/22/2020,Crenshaw,Alabama,US,0,0,0,0
1045,3/22/2020,Dale,Alabama,US,0,0,0,0
1047,3/22/2020,Dallas,Alabama,US,0,0,0,0
1049,3/22/2020,DeKalb,Alabama,US,0,0,0,0
1053,3/22/2020,Escambia,Alabama,US,0,0,0,0
1055,3/22/2020,Etowah,Alabama,US,0,0,0,0
1057,3/22/2020,Fayette,Alabama,US,0,0,0,0
1059,3/22/2020,Franklin,Alabama,US,0,0,0,0
1061,3/22/2020,Geneva,Alabama,US,0,0,0,0
1063,3/22/2020,Greene,Alabama,US,0,0,0,0
1065,3/22/2020,Hale,Alabama,US,0,0,0,0
1067,3/22/2020,Henry,Alabama,US,0,0,0,0
1069,3/22/2020,Houston,Alabama,US,0,0,0,0
1079,3/22/2020,Lawrence,Alabama,US,0,0,0,0
1085,3/22/2020,Lowndes,Alabama,US,0,0,0,0
1087,3/22/2020,Macon,Alabama,US,0,0,0,0
1091,3/22/2020,Marengo,Alabama,US,0,0,0,0
1095,3/22/2020,Marshall,Alabama,US,0,0,0,0
1099,3/22/2020,Monroe,Alabama,US,0,0,0,0
1103,3/22/2020,Morgan,Alabama,US,0,0,0,0
1105,3/22/2020,Perry,Alabama,US,0,0,0,0
